date,reason,source
2025-01-01,Tet Duong lich,HNX/VNX 2025
2025-01-27,Tet Nguyen Dan,HNX/VNX 2025
2025-01-28,Tet Nguyen Dan,HNX/VNX 2025
2025-01-29,Tet Nguyen Dan,HNX/VNX 2025
2025-01-30,Tet Nguyen Dan,HNX/VNX 2025
2025-01-31,Tet Nguyen Dan,HNX/VNX 2025
2025-04-07,Gio To Hung Vuong,HNX/VNX 2025
2025-04-30,Ngay Giai phong mien Nam,HNX/VNX 2025
2025-05-01,Quoc te Lao dong,HNX/VNX 2025
2025-05-02,Nghi hoan doi 30/4-1/5,HNX/VNX 2025
2025-09-01,Quoc khanh 2/9,HNX/VNX 2025
2025-09-02,Quoc khanh 2/9,HNX/VNX 2025
2026-01-01,Tet Duong lich,HNX/VNX 2026
2026-01-02,Tet Duong lich - bo sung,HNX/VNX 2026 update 2025-12-25
2026-02-16,Tet Nguyen Dan,HNX/VNX 2026
2026-02-17,Tet Nguyen Dan,HNX/VNX 2026
2026-02-18,Tet Nguyen Dan,HNX/VNX 2026
2026-02-19,Tet Nguyen Dan,HNX/VNX 2026
2026-02-20,Tet Nguyen Dan,HNX/VNX 2026
2026-04-27,Gio To Hung Vuong - nghi bu,HNX/VNX 2026
2026-04-30,Ngay Giai phong mien Nam,HNX/VNX 2026
2026-05-01,Quoc te Lao dong,HNX/VNX 2026
2026-08-31,Quoc khanh 2/9,HNX/VNX 2026
2026-09-01,Quoc khanh 2/9,HNX/VNX 2026
2026-09-02,Quoc khanh 2/9,HNX/VNX 2026
