symbol,exchange,organ_name,en_organ_name,type,id
ADC,HNX,CTCP Mỹ thuật và Truyền thông,Art Design and Communication Joint Stock Company,STOCK,1.0
AMV,HNX,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,American Vietnamese Biotech Incorporation,STOCK,1.0
API,HNX,CTCP Đầu tư Châu Á - Thái Bình Dương,Asia - Pacific Investment Joint Stock Company,STOCK,1.0
APS,HNX,CTCP Chứng khoán Châu Á Thái Bình Dương,Asia - Pacific Securities Joint Stock Company ,STOCK,1.0
ATS,HNX,CTCP Tập đoàn Đầu tư ATS,ATS Investment Group Joint Stock Company,STOCK,1.0
BAB,HNX,Ngân hàng TMCP Bắc Á,Bac A Commercial Joint Stock Bank,STOCK,1.0
BVS,HNX,CTCP Chứng khoán Bảo Việt,Baoviet Securities Company,STOCK,1.0
C69,HNX,CTCP Xây dựng 1369,1369 Construction Joint Stock Company,STOCK,1.0
CEO,HNX,CTCP Tập đoàn C.E.O,C.E.O Group Joint Stock Company,STOCK,1.0
DST,HNX,CTCP Đầu tư Sao Thăng Long,Sao Thang Long Investment Joint Stock Company,STOCK,1.0
DTD,HNX,CTCP Đầu tư Phát triển Thành Đạt,Thanh Dat Investment Development Joint Stock Company,STOCK,1.0
DXP,HNX,CTCP Cảng Đoạn Xá,DoanXa Port Joint Stock Company,STOCK,1.0
EVS,HNX,CTCP Chứng khoán EVS,EVS Securities Joint Stock Company,STOCK,1.0
HUT,HNX,CTCP Tasco,Tasco Joint Stock Company,STOCK,1.0
IDC,HNX,Tổng Công ty IDICO - CTCP,IDICO Corporation - JSC,STOCK,1.0
IDJ,HNX,CTCP Đầu tư IDJ Việt Nam,IDJ Vietnam Investment Joint Stock Company,STOCK,1.0
KSF,HNX,CTCP Tập đoàn Sunshine,Sunshine Group Joint Stock Company,STOCK,1.0
L14,HNX,CTCP Licogi 14,Licogi 14 Joint Stock Company,STOCK,1.0
LAS,HNX,CTCP Supe Phốt phát và Hóa chất Lâm Thao,Lam Thao Fertilizers and Chemicals Joint Stock Company,STOCK,1.0
MBG,HNX,CTCP Tập đoàn MBG,MBG Group Joint Stock Company,STOCK,1.0
MBS,HNX,CTCP Chứng khoán MB,MB Securities Joint Stock Company,STOCK,1.0
MST,HNX,CTCP Đầu tư MST,MST Investment Joint Stock Company,STOCK,1.0
NDN,HNX,CTCP Đầu tư Phát triển Nhà Đà Nẵng,Danang Housing Investment Development Joint Stock Company,STOCK,1.0
NRC,HNX,CTCP Tập đoàn Bất động sản Quốc gia,National Realty Corporation Joint Stock Company,STOCK,1.0
NTP,HNX,CTCP Nhựa Thiếu niên Tiền Phong,Tien Phong Plastic Joint Stock Company ,STOCK,1.0
NVB,HNX,Ngân hàng TMCP Quốc Dân,National Citizen Commercial Joint Stock Bank,STOCK,1.0
PLC,HNX,Tổng Công ty Hóa dầu Petrolimex - CTCP,Petrolimex Petrochemical Corporation - JSC,STOCK,1.0
PVC,HNX,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,PetroVietnam Chemical and Services Joint Stock Corporation,STOCK,1.0
