symbol,exchange,source,status,sessions_available,latest_date,latest_close,ma200,ma200_status,avg_volume_10,avg_volume_10_status,updated_at,elapsed_seconds,error
ADC,HNX,KBS,PARTIAL,116,2026-07-30,16.5,,NOT_ENOUGH_DATA,1890.0,OK,2026-07-31T01:24:32.911814+07:00,4.6,
AMV,HNX,KBS,PARTIAL,113,2026-07-30,1.3,,NOT_ENOUGH_DATA,573950.0,OK,2026-07-31T01:24:37.601779+07:00,1.39,
API,HNX,KBS,OK,297,2026-07-30,5.5,6.373499999999999,OK,94310.0,OK,2026-07-31T01:24:42.474770+07:00,1.57,
APS,HNX,KBS,OK,297,2026-07-30,5.8,6.984000000000001,OK,393570.0,OK,2026-07-31T01:24:47.388317+07:00,1.61,
ARM,HNX,KBS,PARTIAL,23,2026-03-16,45.8,,NOT_ENOUGH_DATA,1160.0,OK,2026-07-31T01:24:52.073497+07:00,1.38,
ATS,HNX,KBS,PARTIAL,56,2026-06-30,24.7,,NOT_ENOUGH_DATA,160.0,OK,2026-07-31T01:24:56.720596+07:00,1.35,
BAB,HNX,KBS,OK,297,2026-07-30,10.6,10.880249999999998,OK,8130.0,OK,2026-07-31T01:25:01.177006+07:00,1.16,
BVS,HNX,KBS,OK,297,2026-07-30,26.2,29.315199999999994,OK,1334090.0,OK,2026-07-31T01:25:06.052079+07:00,1.57,
C69,HNX,KBS,OK,297,2026-07-30,17.4,15.721000000000002,OK,603610.0,OK,2026-07-31T01:25:10.970691+07:00,1.62,
CAR,HNX,KBS,PARTIAL,24,2026-07-30,13.6,,NOT_ENOUGH_DATA,118210.0,OK,2026-07-31T01:25:15.644496+07:00,1.37,
CEO,HNX,KBS,OK,297,2026-07-30,11.7,18.394000000000002,OK,6589040.0,OK,2026-07-31T01:25:20.529508+07:00,1.58,
DST,HNX,KBS,OK,297,2026-07-30,7.1,9.096,OK,257980.0,OK,2026-07-31T01:25:25.276923+07:00,1.45,
DTD,HNX,KBS,OK,297,2026-07-30,12.4,14.73195,OK,118400.0,OK,2026-07-31T01:25:30.201348+07:00,1.62,
DXP,HNX,KBS,OK,297,2026-07-30,14.0,12.314,OK,204610.0,OK,2026-07-31T01:25:34.688917+07:00,1.19,
EVS,HNX,KBS,OK,297,2026-07-30,5.9,5.501500000000001,OK,670820.0,OK,2026-07-31T01:25:39.158004+07:00,1.17,
HUT,HNX,KBS,OK,297,2026-07-30,14.8,16.1425,OK,2644820.0,OK,2026-07-31T01:25:44.044158+07:00,1.59,
IDC,HNX,KBS,OK,297,2026-07-30,32.5,36.423950000000005,OK,1128670.0,OK,2026-07-31T01:25:48.509608+07:00,1.16,
IDJ,HNX,KBS,OK,297,2026-07-30,3.8,4.5995,OK,358970.0,OK,2026-07-31T01:25:52.954624+07:00,1.14,
KSF,HNX,KBS,OK,297,2026-07-30,78.2,79.7105,OK,174700.0,OK,2026-07-31T01:25:57.828423+07:00,1.57,
L14,HNX,KBS,OK,297,2026-07-30,18.2,25.679499999999997,OK,48240.0,OK,2026-07-31T01:26:02.690713+07:00,1.56,
LAS,HNX,KBS,OK,297,2026-07-30,11.7,16.088,OK,207600.0,OK,2026-07-31T01:26:07.555451+07:00,1.56,
MBG,HNX,KBS,OK,297,2026-07-30,2.4,3.011,OK,205370.0,OK,2026-07-31T01:26:12.414918+07:00,1.56,
MBS,HNX,KBS,OK,297,2026-07-30,18.4,21.211350000000003,OK,7530340.0,OK,2026-07-31T01:26:17.312192+07:00,1.6,
MST,HNX,KBS,OK,297,2026-07-30,10.4,7.423500000000001,OK,3327350.0,OK,2026-07-31T01:26:21.785491+07:00,1.17,
NDN,HNX,KBS,OK,297,2026-07-30,9.1,11.026499999999999,OK,153310.0,OK,2026-07-31T01:26:26.927181+07:00,1.84,
NRC,HNX,KBS,OK,297,2026-07-30,4.6,6.068,OK,3014030.0,OK,2026-07-31T01:26:31.787211+07:00,1.56,
NTP,HNX,KBS,OK,297,2026-07-30,48.4,50.04215,OK,73880.0,OK,2026-07-31T01:26:36.264028+07:00,1.18,
NVB,HNX,KBS,OK,297,2026-07-30,11.6,12.633999999999999,OK,420240.0,OK,2026-07-31T01:26:41.149187+07:00,1.58,
PLC,HNX,KBS,OK,297,2026-07-30,19.3,24.965500000000002,OK,122950.0,OK,2026-07-31T01:26:46.003329+07:00,1.55,
PVC,HNX,KBS,OK,297,2026-07-30,12.1,13.75,OK,424250.0,OK,2026-07-31T01:26:50.483324+07:00,1.18,
PVS,HNX,KBS,OK,297,2026-07-30,34.8,37.51455000000001,OK,3408240.0,OK,2026-07-31T01:26:55.377282+07:00,1.59,
SHN,HNX,KBS,OK,295,2026-07-30,8.6,4.5735,OK,483330.0,OK,2026-07-31T01:26:59.871496+07:00,1.19,
