scan_date,scan_at,symbol,exchange,close_price,volume_accumulated
2026-07-31,2026-07-31T12:19:31.618146+07:00,BAB,HNX,10500,9300
2026-07-31,2026-07-31T12:19:31.618146+07:00,VHE,HNX,3000,1630200
2026-07-31,2026-07-31T12:19:31.618146+07:00,AAA,HOSE,7150,872300
2026-07-31,2026-07-31T12:19:31.618146+07:00,AFX,HOSE,10400,451000
2026-07-31,2026-07-31T12:19:31.618146+07:00,BID,HOSE,38350,6938000
2026-07-31,2026-07-31T12:19:31.618146+07:00,CMG,HOSE,24400,245400
2026-07-31,2026-07-31T12:19:31.618146+07:00,CRC,HOSE,5790,436200
2026-07-31,2026-07-31T12:19:31.618146+07:00,CTG,HOSE,31100,11341100
2026-07-31,2026-07-31T12:19:31.618146+07:00,FRT,HOSE,124400,1037500
2026-07-31,2026-07-31T12:19:31.618146+07:00,NLG,HOSE,21600,2474400
2026-07-31,2026-07-31T12:19:31.618146+07:00,TTF,HOSE,1840,480800
2026-07-31,2026-07-31T12:19:31.618146+07:00,VCB,HOSE,59600,15447200
2026-07-31,2026-07-31T12:19:31.618146+07:00,VRE,HOSE,24800,6451800
2026-07-31,2026-07-31T12:19:31.618146+07:00,DSH,UPCOM,13300,264200
2026-07-31,2026-07-31T12:19:31.618146+07:00,SBS,UPCOM,4600,784000
2026-07-31,2026-07-31T12:19:31.618146+07:00,VGI,UPCOM,81700,300900
2026-07-31,2026-07-31T12:19:31.618146+07:00,HSL,HOSE,8280,649600
2026-07-31,2026-07-31T12:19:31.618146+07:00,HVH,HOSE,11700,426300
2026-07-31,2026-07-31T12:19:31.618146+07:00,POW,HOSE,13700,7951500
2026-07-31,2026-07-31T12:19:31.618146+07:00,AIG,UPCOM,52800,35200
2026-07-31,2026-07-31T12:19:31.618146+07:00,SCL,UPCOM,23800,266300
2026-07-31,2026-07-31T12:19:31.618146+07:00,API,HNX,5400,32800
2026-07-31,2026-07-31T12:19:31.618146+07:00,APS,HNX,5800,144100
2026-07-31,2026-07-31T12:19:31.618146+07:00,BVS,HNX,25700,661800
2026-07-31,2026-07-31T12:19:31.618146+07:00,CEO,HNX,11500,2938700
2026-07-31,2026-07-31T12:19:31.618146+07:00,DST,HNX,7000,25600
2026-07-31,2026-07-31T12:19:31.618146+07:00,DTD,HNX,12300,20000
2026-07-31,2026-07-31T12:19:31.618146+07:00,HUT,HNX,14600,792800
2026-07-31,2026-07-31T12:19:31.618146+07:00,IDC,HNX,32800,509300
2026-07-31,2026-07-31T12:19:31.618146+07:00,IDJ,HNX,3700,212300
2026-07-31,2026-07-31T12:19:31.618146+07:00,L14,HNX,18000,18200
2026-07-31,2026-07-31T12:19:31.618146+07:00,LAS,HNX,11600,58600
2026-07-31,2026-07-31T12:19:31.618146+07:00,MBG,HNX,2400,16200
2026-07-31,2026-07-31T12:19:31.618146+07:00,MBS,HNX,18100,2683600
2026-07-31,2026-07-31T12:19:31.618146+07:00,NDN,HNX,9100,20800
2026-07-31,2026-07-31T12:19:31.618146+07:00,NRC,HNX,4600,308900
2026-07-31,2026-07-31T12:19:31.618146+07:00,NTP,HNX,48300,29400
2026-07-31,2026-07-31T12:19:31.618146+07:00,NVB,HNX,11500,237000
2026-07-31,2026-07-31T12:19:31.618146+07:00,PLC,HNX,19600,55700
2026-07-31,2026-07-31T12:19:31.618146+07:00,PVC,HNX,12200,306900
2026-07-31,2026-07-31T12:19:31.618146+07:00,PVS,HNX,34400,1303800
2026-07-31,2026-07-31T12:19:31.618146+07:00,SHS,HNX,15300,5063400
2026-07-31,2026-07-31T12:19:31.618146+07:00,TIG,HNX,6000,54500
2026-07-31,2026-07-31T12:19:31.618146+07:00,TNG,HNX,18000,339300
2026-07-31,2026-07-31T12:19:31.618146+07:00,VC3,HNX,25600,339600
2026-07-31,2026-07-31T12:19:31.618146+07:00,VC7,HNX,7200,11300
2026-07-31,2026-07-31T12:19:31.618146+07:00,VFS,HNX,9600,529900
2026-07-31,2026-07-31T12:19:31.618146+07:00,VTV,HNX,12800,18700
2026-07-31,2026-07-31T12:19:31.618146+07:00,ACC,HOSE,4500,243500
2026-07-31,2026-07-31T12:19:31.618146+07:00,AGG,HOSE,11600,167400
2026-07-31,2026-07-31T12:19:31.618146+07:00,AGR,HOSE,13050,154100
2026-07-31,2026-07-31T12:19:31.618146+07:00,ANV,HOSE,17250,235500
2026-07-31,2026-07-31T12:19:31.618146+07:00,APG,HOSE,4630,124500
2026-07-31,2026-07-31T12:19:31.618146+07:00,APH,HOSE,5600,60300
2026-07-31,2026-07-31T12:19:31.618146+07:00,ASM,HOSE,5950,148100
2026-07-31,2026-07-31T12:19:31.618146+07:00,BCE,HOSE,5500,45200
2026-07-31,2026-07-31T12:19:31.618146+07:00,BCM,HOSE,36150,257000
2026-07-31,2026-07-31T12:19:31.618146+07:00,BFC,HOSE,51000,143100
2026-07-31,2026-07-31T12:19:31.618146+07:00,BKG,HOSE,2100,158100
2026-07-31,2026-07-31T12:19:31.618146+07:00,BSI,HOSE,27800,154100
2026-07-31,2026-07-31T12:19:31.618146+07:00,BVB,HOSE,12450,688800
2026-07-31,2026-07-31T12:19:31.618146+07:00,BVH,HOSE,62700,290100
2026-07-31,2026-07-31T12:19:31.618146+07:00,CII,HOSE,13200,3125400
2026-07-31,2026-07-31T12:19:31.618146+07:00,CRE,HOSE,7070,42900
2026-07-31,2026-07-31T12:19:31.618146+07:00,CSV,HOSE,21350,175700
2026-07-31,2026-07-31T12:19:31.618146+07:00,CTD,HOSE,60100,291900
2026-07-31,2026-07-31T12:19:31.618146+07:00,CTF,HOSE,18000,201400
2026-07-31,2026-07-31T12:19:31.618146+07:00,CTI,HOSE,19250,124500
2026-07-31,2026-07-31T12:19:31.618146+07:00,CTR,HOSE,71400,119600
2026-07-31,2026-07-31T12:19:31.618146+07:00,CTS,HOSE,21800,1072000
2026-07-31,2026-07-31T12:19:31.618146+07:00,DBC,HOSE,16550,893800
2026-07-31,2026-07-31T12:19:31.618146+07:00,DC4,HOSE,6570,101200
2026-07-31,2026-07-31T12:19:31.618146+07:00,DCL,HOSE,38000,75200
2026-07-31,2026-07-31T12:19:31.618146+07:00,DCM,HOSE,31000,557500
2026-07-31,2026-07-31T12:19:31.618146+07:00,DGC,HOSE,39200,314900
2026-07-31,2026-07-31T12:19:31.618146+07:00,DGW,HOSE,36700,625300
2026-07-31,2026-07-31T12:19:31.618146+07:00,DIG,HOSE,10150,6597700
2026-07-31,2026-07-31T12:19:31.618146+07:00,DLG,HOSE,2250,340700
2026-07-31,2026-07-31T12:19:31.618146+07:00,DPG,HOSE,27350,118200
2026-07-31,2026-07-31T12:19:31.618146+07:00,DPM,HOSE,23550,1551100
2026-07-31,2026-07-31T12:19:31.618146+07:00,DRC,HOSE,10350,32400
2026-07-31,2026-07-31T12:19:31.618146+07:00,DSE,HOSE,22150,318500
2026-07-31,2026-07-31T12:19:31.618146+07:00,DXG,HOSE,10400,4483500
2026-07-31,2026-07-31T12:19:31.618146+07:00,DXS,HOSE,5820,1118800
2026-07-31,2026-07-31T12:19:31.618146+07:00,EIB,HOSE,17800,3542400
2026-07-31,2026-07-31T12:19:31.618146+07:00,ELC,HOSE,14450,121300
2026-07-31,2026-07-31T12:19:31.618146+07:00,EVF,HOSE,12350,950300
2026-07-31,2026-07-31T12:19:31.618146+07:00,EVG,HOSE,4270,296200
2026-07-31,2026-07-31T12:19:31.618146+07:00,FCN,HOSE,10500,56600
2026-07-31,2026-07-31T12:19:31.618146+07:00,FIT,HOSE,3050,84500
2026-07-31,2026-07-31T12:19:31.618146+07:00,FPT,HOSE,67000,3189900
2026-07-31,2026-07-31T12:19:31.618146+07:00,FTS,HOSE,21650,453200
2026-07-31,2026-07-31T12:19:31.618146+07:00,GAS,HOSE,68700,493200
2026-07-31,2026-07-31T12:19:31.618146+07:00,GEE,HOSE,66300,536000
2026-07-31,2026-07-31T12:19:31.618146+07:00,GEG,HOSE,12150,99200
2026-07-31,2026-07-31T12:19:31.618146+07:00,GEX,HOSE,22600,12115800
2026-07-31,2026-07-31T12:19:31.618146+07:00,GIL,HOSE,6760,121100
2026-07-31,2026-07-31T12:19:31.618146+07:00,GVR,HOSE,27950,1294900
2026-07-31,2026-07-31T12:19:31.618146+07:00,HAG,HOSE,14000,763800
2026-07-31,2026-07-31T12:19:31.618146+07:00,HAH,HOSE,44900,153800
2026-07-31,2026-07-31T12:19:31.618146+07:00,HAX,HOSE,8550,112700
2026-07-31,2026-07-31T12:19:31.618146+07:00,HDB,HOSE,25500,4031100
2026-07-31,2026-07-31T12:19:31.618146+07:00,HDC,HOSE,11550,578800
2026-07-31,2026-07-31T12:19:31.618146+07:00,HDG,HOSE,16150,985300
2026-07-31,2026-07-31T12:19:31.618146+07:00,HHS,HOSE,9630,353600
2026-07-31,2026-07-31T12:19:31.618146+07:00,HHV,HOSE,9990,981200
2026-07-31,2026-07-31T12:19:31.618146+07:00,HPG,HOSE,21550,12021400
2026-07-31,2026-07-31T12:19:31.618146+07:00,HPX,HOSE,4110,110700
2026-07-31,2026-07-31T12:19:31.618146+07:00,HQC,HOSE,2160,1391000
2026-07-31,2026-07-31T12:19:31.618146+07:00,HSG,HOSE,10750,902300
2026-07-31,2026-07-31T12:19:31.618146+07:00,HT1,HOSE,12250,54200
2026-07-31,2026-07-31T12:19:31.618146+07:00,HTN,HOSE,6790,73400
2026-07-31,2026-07-31T12:19:31.618146+07:00,HVN,HOSE,21750,500600
2026-07-31,2026-07-31T12:19:31.618146+07:00,IDI,HOSE,4820,163100
2026-07-31,2026-07-31T12:19:31.618146+07:00,IJC,HOSE,7070,1138700
2026-07-31,2026-07-31T12:19:31.618146+07:00,KBC,HOSE,27400,547600
2026-07-31,2026-07-31T12:19:31.618146+07:00,KDH,HOSE,17450,2627100
2026-07-31,2026-07-31T12:19:31.618146+07:00,KHG,HOSE,4720,1215600
2026-07-31,2026-07-31T12:19:31.618146+07:00,KLB,HOSE,11350,124500
2026-07-31,2026-07-31T12:19:31.618146+07:00,KSB,HOSE,13250,235400
2026-07-31,2026-07-31T12:19:31.618146+07:00,LCG,HOSE,7020,283600
2026-07-31,2026-07-31T12:19:31.618146+07:00,LDG,HOSE,2700,201000
2026-07-31,2026-07-31T12:19:31.618146+07:00,MBB,HOSE,22750,7758800
2026-07-31,2026-07-31T12:19:31.618146+07:00,MCH,HOSE,141100,401900
2026-07-31,2026-07-31T12:19:31.618146+07:00,MIG,HOSE,16900,6200
2026-07-31,2026-07-31T12:19:31.618146+07:00,MSN,HOSE,66800,1527500
2026-07-31,2026-07-31T12:19:31.618146+07:00,MWG,HOSE,69100,1837300
2026-07-31,2026-07-31T12:19:31.618146+07:00,NKG,HOSE,10950,651700
2026-07-31,2026-07-31T12:19:31.618146+07:00,NT2,HOSE,21050,465200
2026-07-31,2026-07-31T12:19:31.618146+07:00,NTL,HOSE,13550,101400
2026-07-31,2026-07-31T12:19:31.618146+07:00,NVL,HOSE,13050,16020200
2026-07-31,2026-07-31T12:19:31.618146+07:00,OCB,HOSE,10300,1016900
2026-07-31,2026-07-31T12:19:31.618146+07:00,OGC,HOSE,2120,33700
2026-07-31,2026-07-31T12:19:31.618146+07:00,PAC,HOSE,15750,97200
2026-07-31,2026-07-31T12:19:31.618146+07:00,PAN,HOSE,20950,214500
2026-07-31,2026-07-31T12:19:31.618146+07:00,PC1,HOSE,21250,696100
2026-07-31,2026-07-31T12:19:31.618146+07:00,PDR,HOSE,11550,3064600
2026-07-31,2026-07-31T12:19:31.618146+07:00,PHR,HOSE,57100,113500
2026-07-31,2026-07-31T12:19:31.618146+07:00,PLX,HOSE,34150,1659000
2026-07-31,2026-07-31T12:19:31.618146+07:00,PNJ,HOSE,30300,11405600
2026-07-31,2026-07-31T12:19:31.618146+07:00,PPC,HOSE,8830,32000
2026-07-31,2026-07-31T12:19:31.618146+07:00,PVT,HOSE,18550,3108600
2026-07-31,2026-07-31T12:19:31.618146+07:00,QCG,HOSE,9970,60600
2026-07-31,2026-07-31T12:19:31.618146+07:00,REE,HOSE,45850,350900
2026-07-31,2026-07-31T12:19:31.618146+07:00,SBT,HOSE,21200,214600
2026-07-31,2026-07-31T12:19:31.618146+07:00,SCR,HOSE,4590,451400
2026-07-31,2026-07-31T12:19:31.618146+07:00,SCS,HOSE,43600,66900
2026-07-31,2026-07-31T12:19:31.618146+07:00,SHB,HOSE,11600,18830900
2026-07-31,2026-07-31T12:19:31.618146+07:00,SHI,HOSE,14050,101800
2026-07-31,2026-07-31T12:19:31.618146+07:00,SSI,HOSE,23750,9441800
2026-07-31,2026-07-31T12:19:31.618146+07:00,SZC,HOSE,17900,215100
2026-07-31,2026-07-31T12:19:31.618146+07:00,TAL,HOSE,20950,38900
2026-07-31,2026-07-31T12:19:31.618146+07:00,TCB,HOSE,29250,6160000
2026-07-31,2026-07-31T12:19:31.618146+07:00,TCH,HOSE,11500,2496900
2026-07-31,2026-07-31T12:19:31.618146+07:00,TCM,HOSE,16600,1337600
2026-07-31,2026-07-31T12:19:31.618146+07:00,TDC,HOSE,6940,149500
2026-07-31,2026-07-31T12:19:31.618146+07:00,TDP,HOSE,28100,162600
2026-07-31,2026-07-31T12:19:31.618146+07:00,TPB,HOSE,14400,4798000
2026-07-31,2026-07-31T12:19:31.618146+07:00,TV2,HOSE,26000,83000
2026-07-31,2026-07-31T12:19:31.618146+07:00,VAB,HOSE,10100,234800
2026-07-31,2026-07-31T12:19:31.618146+07:00,VCG,HOSE,15600,1177200
2026-07-31,2026-07-31T12:19:31.618146+07:00,VCI,HOSE,21400,4909000
2026-07-31,2026-07-31T12:19:31.618146+07:00,VDS,HOSE,11950,344600
2026-07-31,2026-07-31T12:19:31.618146+07:00,VGC,HOSE,37650,209700
2026-07-31,2026-07-31T12:19:31.618146+07:00,VHC,HOSE,54200,83900
2026-07-31,2026-07-31T12:19:31.618146+07:00,VIB,HOSE,14700,5150200
2026-07-31,2026-07-31T12:19:31.618146+07:00,VIX,HOSE,13100,29565300
2026-07-31,2026-07-31T12:19:31.618146+07:00,VJC,HOSE,124600,665400
2026-07-31,2026-07-31T12:19:31.618146+07:00,VND,HOSE,16650,5860200
2026-07-31,2026-07-31T12:19:31.618146+07:00,VOS,HOSE,10900,247700
2026-07-31,2026-07-31T12:19:31.618146+07:00,VPB,HOSE,24950,6248500
2026-07-31,2026-07-31T12:19:31.618146+07:00,VPG,HOSE,1880,77200
2026-07-31,2026-07-31T12:19:31.618146+07:00,VPL,HOSE,78600,231200
2026-07-31,2026-07-31T12:19:31.618146+07:00,VSC,HOSE,13700,8674300
2026-07-31,2026-07-31T12:19:31.618146+07:00,VTO,HOSE,10550,7200
2026-07-31,2026-07-31T12:19:31.618146+07:00,VTP,HOSE,48300,325200
2026-07-31,2026-07-31T12:19:31.618146+07:00,YEG,HOSE,7450,145500
2026-07-31,2026-07-31T12:19:31.618146+07:00,AAH,UPCOM,1900,195400
2026-07-31,2026-07-31T12:19:31.618146+07:00,AAS,UPCOM,7200,120100
2026-07-31,2026-07-31T12:19:31.618146+07:00,AAV,UPCOM,6500,354100
2026-07-31,2026-07-31T12:19:31.618146+07:00,ACV,UPCOM,39400,195100
2026-07-31,2026-07-31T12:19:31.618146+07:00,BIG,UPCOM,4300,311300
2026-07-31,2026-07-31T12:19:31.618146+07:00,C4G,UPCOM,5600,163800
2026-07-31,2026-07-31T12:19:31.618146+07:00,DDV,UPCOM,18300,37000
2026-07-31,2026-07-31T12:19:31.618146+07:00,DRI,UPCOM,12900,86500
2026-07-31,2026-07-31T12:19:31.618146+07:00,FOX,UPCOM,64100,57100
2026-07-31,2026-07-31T12:19:31.618146+07:00,HBC,UPCOM,4200,85100
2026-07-31,2026-07-31T12:19:31.618146+07:00,HNM,UPCOM,7900,103900
2026-07-31,2026-07-31T12:19:31.618146+07:00,OIL,UPCOM,13100,530500
2026-07-31,2026-07-31T12:19:31.618146+07:00,PAS,UPCOM,2400,7300
2026-07-31,2026-07-31T12:19:31.618146+07:00,QTP,UPCOM,11100,37800
2026-07-31,2026-07-31T12:19:31.618146+07:00,TOS,UPCOM,91600,23600
2026-07-31,2026-07-31T12:19:31.618146+07:00,TVN,UPCOM,8700,241400
2026-07-31,2026-07-31T12:19:31.618146+07:00,VEA,UPCOM,34300,134900
2026-07-31,2026-07-31T12:19:31.618146+07:00,VGT,UPCOM,10900,151300
2026-07-31,2026-07-31T12:19:31.618146+07:00,VHG,UPCOM,1600,9600
2026-07-31,2026-07-31T12:19:31.618146+07:00,VNE,UPCOM,2000,368200
2026-07-31,2026-07-31T12:19:31.618146+07:00,ADC,HNX,0,0
2026-07-31,2026-07-31T12:19:31.618146+07:00,AMV,HNX,1300,214900
2026-07-31,2026-07-31T12:19:31.618146+07:00,ARM,HNX,0,0
2026-07-31,2026-07-31T12:19:31.618146+07:00,ATS,HNX,0,0
2026-07-31,2026-07-31T12:19:31.618146+07:00,C69,HNX,16500,224600
2026-07-31,2026-07-31T12:19:31.618146+07:00,CAR,HNX,0,0
2026-07-31,2026-07-31T12:19:31.618146+07:00,DXP,HNX,13800,134700
2026-07-31,2026-07-31T12:19:31.618146+07:00,EVS,HNX,5800,168600
2026-07-31,2026-07-31T12:19:31.618146+07:00,KSF,HNX,80000,104200
2026-07-31,2026-07-31T12:19:31.618146+07:00,MST,HNX,10300,1907000
2026-07-31,2026-07-31T12:19:31.618146+07:00,SHN,HNX,8600,321500
2026-07-31,2026-07-31T12:19:31.618146+07:00,SVN,HNX,2700,77600
2026-07-31,2026-07-31T12:19:31.618146+07:00,VTZ,HNX,20400,504200
2026-07-31,2026-07-31T12:19:31.618146+07:00,ABS,HOSE,3100,223500
2026-07-31,2026-07-31T12:19:31.618146+07:00,ACB,HOSE,22200,4710000
2026-07-31,2026-07-31T12:19:31.618146+07:00,ASP,HOSE,11900,336200
2026-07-31,2026-07-31T12:19:31.618146+07:00,BAF,HOSE,29550,573800
2026-07-31,2026-07-31T12:19:31.618146+07:00,BSR,HOSE,25850,6024300
2026-07-31,2026-07-31T12:19:31.618146+07:00,BWE,HOSE,43800,12400
2026-07-31,2026-07-31T12:19:31.618146+07:00,CDC,HOSE,18700,110700
2026-07-31,2026-07-31T12:19:31.618146+07:00,CSM,HOSE,14700,98200
2026-07-31,2026-07-31T12:19:31.618146+07:00,DHC,HOSE,32950,150300
2026-07-31,2026-07-31T12:19:31.618146+07:00,DHM,HOSE,6680,4000
2026-07-31,2026-07-31T12:19:31.618146+07:00,GEL,HOSE,25950,1288300
2026-07-31,2026-07-31T12:19:31.618146+07:00,GMD,HOSE,74800,578700
2026-07-31,2026-07-31T12:19:31.618146+07:00,HCM,HOSE,25200,1609600
