scan_date,scan_at,symbol,exchange,close_price,previous_close_price,price_change_30m_pct,volume_accumulated,previous_volume_accumulated,avg_volume_10,expected_volume_at_time,rvol_time,ma200_vnd,distance_to_ma200_pct,below_ma200,price_surge_30m,volume_surge,strong_setup,has_any_signal,signal_name,is_baseline_snapshot,session_elapsed_minutes,session_progress,ma200_status,avg_volume_10_status,previous_scan_at,time,reference_price,open_price,high_price,low_price,average_price,total_value,price_change,percent_change,ceiling_price,floor_price,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,foreign_buy_volume,foreign_sell_volume,foreign_room,latest_date,latest_close,ma200,latest_close_vnd
2026-07-31,2026-07-31T12:19:31.618146+07:00,BAB,HNX,10500,10500,0.0,9300,9300,8130.0,4516.666666666667,2.0590405904059037,10880.249999999998,-3.4948645481491534,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785471599626,10600,10600,10600,10400,10470,97370000,-100,-0.9433962264150944,11600,9600,10500.0,200,10400,2700,10300,1200,10600.0,3000,10700,300,10800,3200,0,0,345632153,2026-07-30,10.6,10.880249999999998,10600.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,VHE,HNX,3000,3000,0.0,1630200,1630200,145440.0,80800.0,20.175742574257427,3561.500000000001,-15.7658290046329,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472144007,3000,3000,3000,2900,2900,4727610000,0,0.0,3300,2700,2900.0,45600,2800,109400,2700,80600,3000.0,211500,3100,107200,3200,52100,0,0,0,2026-07-30,3.0,3.561500000000001,3000.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,AAA,HOSE,7150,7150,0.0,872300,872300,761990.0,423327.7777777778,2.0605782228113227,7248.25,-1.3554996033525333,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472140090,7090,7140,7260,7120,7170,6254156000,60,0.846262341325811,7580,6600,7140.0,2700,7120,4800,7110,4700,7150.0,1500,7160,1100,7170,11600,173300,0,387526041,2026-07-30,7.09,7.24825,7090.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,AFX,HOSE,10400,10400,0.0,451000,451000,121270.0,67372.22222222222,6.694153541683846,10775.75,-3.486996264761154,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472186600,10100,10100,10500,10000,10267,4630375000,300,2.9702970297029703,10800,9400,10150.0,1500,10100,1400,10050,2000,10450.0,10800,10500,12600,10600,23000,0,0,-600,2026-07-30,10.1,10.77575,10100.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,BID,HOSE,38350,38350,0.0,6938000,6938000,4074260.0,2263477.777777778,3.065194661116374,41143.600000000006,-6.789877404991312,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785475141770,37250,37350,39400,37100,38374,266237180000,1100,2.953020134228188,39850,34650,38350.0,34700,38300,19500,38250,59500,38400.0,71900,38450,78200,38500,38300,342701,567200,908416744,2026-07-30,37.25,41.143600000000006,37250.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,CMG,HOSE,24400,24400,0.0,245400,245400,207780.0,115433.33333333334,2.12590239676581,31007.899999999998,-21.310375742955824,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472133187,24100,24350,24700,24150,24351,5975810000,300,1.2448132780082988,25750,22450,24300.0,100,24250,3700,24200,31800,24450.0,14700,24500,4400,24550,1900,9400,800,31578884,2026-07-30,24.1,31.0079,24100.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,CRC,HOSE,5790,5790,0.0,436200,436200,266930.0,148294.44444444444,2.9414453227437907,8489.800000000001,-31.800513557445413,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472152441,5830,5760,5830,5760,5802,2530623000,-40,-0.6861063464837049,6230,5430,5780.0,1000,5770,5800,5760,6400,5800.0,81600,5810,1500,5830,4700,0,3100,53245541,2026-07-30,5.83,8.4898,5830.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,CTG,HOSE,31100,31100,0.0,11341100,11341100,8716350.0,4842416.666666667,2.342033075771395,34574.2,-10.048533299396652,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785475143871,30450,30800,32000,30550,31268,354612410000,650,2.134646962233169,32550,28350,31100.0,31200,31050,71200,31000,99700,31150.0,79900,31200,41900,31250,114800,1728050,1478600,424291501,2026-07-30,30.45,34.5742,30450.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,FRT,HOSE,124400,124400,0.0,1037500,1037500,381910.0,212172.22222222222,4.889895525123721,136614.6,-8.940918466986695,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785475147171,116300,124400,124400,123300,124348,129010800000,8100,6.964746345657781,124400,108200,124400.0,101300,124300,34200,124200,24800,,0,0,0,0,0,409997,113600,30524428,2026-07-30,116.3,136.6146,116300.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,NLG,HOSE,21600,21600,0.0,2474400,2474400,1979490.0,1099716.6666666667,2.250034099692345,29156.5,-25.91703393754394,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472214196,21550,21650,21800,21550,21599,53445800000,50,0.23201856148491878,23050,20050,21550.0,86700,21500,126500,21450,73800,21600.0,3900,21650,42200,21700,54100,91100,1779000,45331152,2026-07-30,21.55,29.1565,21550.0
