boundary_volume_abs_diff,boundary_volume_pct_diff,classification,closing_price_diff,closing_volume_abs_diff,closing_volume_pct_diff,day_volume_abs_diff,day_volume_pct_diff,domain,kbs_boundary_volume,kbs_day_volume,kbs_inference_quality,kbs_price,kbs_time,price_diff,symbol,trading_date,vci_boundary_volume,vci_day_volume,vci_inference_quality,vci_price,vci_time
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,78900,4690000,UNAVAILABLE,71.4,2026-08-25 09:15:00,0.0,FPT,2026-08-25,78900,4690000,UNAVAILABLE,71.4,2026-08-25 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,254300,4690000,INFERRED_BOUNDARY,70.7,2026-08-25 14:45:00,0.0,FPT,2026-08-25,254300,4690000,INFERRED_BOUNDARY,70.7,2026-08-25 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,27600,10161300,INFERRED_BOUNDARY,70.7,2026-08-26 09:15:00,0.0,FPT,2026-08-26,27600,10161300,INFERRED_BOUNDARY,70.7,2026-08-26 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,426000,10161300,INFERRED_BOUNDARY,72.6,2026-08-26 14:45:00,0.0,FPT,2026-08-26,426000,10161300,INFERRED_BOUNDARY,72.6,2026-08-26 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,100800,3542900,UNAVAILABLE,72.6,2026-08-27 09:15:00,0.0,FPT,2026-08-27,100800,3542900,UNAVAILABLE,72.6,2026-08-27 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,240800,3542900,INFERRED_BOUNDARY,72.2,2026-08-27 14:45:00,0.0,FPT,2026-08-27,240800,3542900,INFERRED_BOUNDARY,72.2,2026-08-27 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,112500,10196800,UNAVAILABLE,72.2,2026-08-28 09:15:00,0.0,FPT,2026-08-28,112500,10196800,UNAVAILABLE,72.2,2026-08-28 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,583800,10196800,INFERRED_BOUNDARY,73.2,2026-08-28 14:45:00,0.0,FPT,2026-08-28,583800,10196800,INFERRED_BOUNDARY,73.2,2026-08-28 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,163800,4098200,UNAVAILABLE,73,2026-09-03 09:15:00,0,FPT,2026-09-03,163800,4098200,UNAVAILABLE,73,2026-09-03 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,176100,4098200,INFERRED_BOUNDARY,72.2,2026-09-03 14:45:00,0.0,FPT,2026-09-03,176100,4098200,INFERRED_BOUNDARY,72.2,2026-09-03 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,79100,3549500,UNAVAILABLE,72.5,2026-09-04 09:15:00,0.0,FPT,2026-09-04,79100,3549500,UNAVAILABLE,72.5,2026-09-04 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,230300,3549500,INFERRED_BOUNDARY,72.8,2026-09-04 14:45:00,0.0,FPT,2026-09-04,230300,3549500,INFERRED_BOUNDARY,72.8,2026-09-04 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,129100,7020200,UNAVAILABLE,73,2026-09-07 09:15:00,0,FPT,2026-09-07,129100,7020200,UNAVAILABLE,73,2026-09-07 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,185700,7020200,INFERRED_BOUNDARY,72.4,2026-09-07 14:45:00,0.0,FPT,2026-09-07,185700,7020200,INFERRED_BOUNDARY,72.4,2026-09-07 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,44700,4273000,UNAVAILABLE,72.4,2026-09-08 09:15:00,0.0,FPT,2026-09-08,44700,4273000,UNAVAILABLE,72.4,2026-09-08 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,149900,4273000,INFERRED_BOUNDARY,72.2,2026-09-08 14:45:00,0.0,FPT,2026-09-08,149900,4273000,INFERRED_BOUNDARY,72.2,2026-09-08 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,15900,3680300,UNAVAILABLE,72.3,2026-09-09 09:15:00,0.0,FPT,2026-09-09,15900,3680300,UNAVAILABLE,72.3,2026-09-09 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,270300,3680300,INFERRED_BOUNDARY,72.4,2026-09-09 14:45:00,0.0,FPT,2026-09-09,270300,3680300,INFERRED_BOUNDARY,72.4,2026-09-09 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,28400,11936600,UNAVAILABLE,72.3,2026-09-10 09:15:00,0.0,FPT,2026-09-10,28400,11936600,UNAVAILABLE,72.3,2026-09-10 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,320300,11936600,INFERRED_BOUNDARY,74.5,2026-09-10 14:45:00,0.0,FPT,2026-09-10,320300,11936600,INFERRED_BOUNDARY,74.5,2026-09-10 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,165600,5655200,UNAVAILABLE,74.4,2026-09-11 09:15:00,0.0,FPT,2026-09-11,165600,5655200,UNAVAILABLE,74.4,2026-09-11 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,529600,5655200,INFERRED_BOUNDARY,72.7,2026-09-11 14:45:00,0.0,FPT,2026-09-11,529600,5655200,INFERRED_BOUNDARY,72.7,2026-09-11 14:45:00
0,0.0,STRONG_AGREEMENT,,,,0,0.0,ATO,63800,4860300,UNAVAILABLE,72.8,2026-09-14 09:15:00,0.0,FPT,2026-09-14,63800,4860300,UNAVAILABLE,72.8,2026-09-14 09:15:00
0,0.0,STRONG_AGREEMENT,0.0,0,0.0,0,0.0,ATC,154700,4860300,INFERRED_BOUNDARY,72.4,2026-09-14 14:45:00,0.0,FPT,2026-09-14,154700,4860300,INFERRED_BOUNDARY,72.4,2026-09-14 14:45:00
