symbol,website_group,financial_model,review_reason
GGG,Ô tô & Phụ tùng,NORMAL,Vietstock: Xe và linh kiện > Xe
HEP,Dịch vụ công nghiệp,NORMAL,Môi trường và công trình đô thị
ILB,Cảng & Logistics,NORMAL,ICD Tân Cảng - Long Bình
KTL,Ô tô & Phụ tùng,NORMAL,Vietstock: Xe và linh kiện > Linh kiện xe
LIX,Hóa chất,NORMAL,Bột giặt / sản phẩm chăm sóc gia đình
NET,Hóa chất,NORMAL,Bột giặt / sản phẩm chăm sóc gia đình
PEG,Dầu khí,NORMAL,Thiết bị và dịch vụ năng lượng
POS,Dầu khí,NORMAL,PTSC - vận hành/xây lắp dầu khí
PSB,Dầu khí,NORMAL,PTSC - cảng kỹ thuật dầu khí
PV2,Tài chính khác,NORMAL,Vietstock: Dịch vụ tài chính
PVB,Dầu khí,NORMAL,Bọc ống dầu khí
PVD,Dầu khí,NORMAL,Khoan và dịch vụ khoan dầu khí
PVY,Dầu khí,NORMAL,Chế tạo giàn khoan dầu khí
SRC,Ô tô & Phụ tùng,NORMAL,Vietstock: Xe và linh kiện > Linh kiện xe
SZE,Dịch vụ công nghiệp,NORMAL,Dịch vụ môi trường
TLG,Hàng tiêu dùng lâu bền,NORMAL,Văn phòng phẩm / sản phẩm tiêu dùng
TMT,Ô tô & Phụ tùng,NORMAL,Vietstock: Xe và linh kiện > Xe
VEF,Dịch vụ công nghiệp,NORMAL,Hội chợ triển lãm / dịch vụ thương mại
