symbol,exchange,organ_name,en_organ_name
AAM,HOSE,CTCP Thủy sản MeKong,Mekong Fisheries Joint Stock Company
AAT,HOSE,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,Tien Son Thanh Hoa Group Joint Stock Company
ABI,UPCOM,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Agriculture Bank Insurance Joint Stock Corporation
ACG,HOSE,CTCP Gỗ An Cường,An Cuong Wood - Working Joint Stock Company
ACL,HOSE,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Cuu Long Fish Joint Stock Company
ACM,UPCOM,CTCP Tập đoàn Khoáng sản Á Cường,A Cuong Mineral Group Joint Stock Company
ADG,HOSE,CTCP Clever Group,Clever Group Corporation
ADP,HOSE,CTCP Sơn Á Đông,A Dong Paint Stock Company
ADS,HOSE,CTCP Damsan,Damsan Joint Stock Company
AGF,UPCOM,CTCP Xuất nhập khẩu Thủy sản An Giang,Angiang Fisheries Import  Export JSC
AGP,UPCOM,CTCP Dược phẩm Agimexpharm,Agimexpharm Pharmaceutical Joint Stock Company
AIC,UPCOM,Tổng Công ty Cổ phần Bảo hiểm DBV,DBV Insurance Group Joint Stock Company
ALV,UPCOM,CTCP Tập đoàn MCST,MCST Group Joint Stock Company
AME,HNX,CTCP Alphanam E&C,Alphanam E&C Joint Stock Company
AMS,UPCOM,CTCP Cơ khí Xây dựng AMECC,AMECC Mechanical Construction Joint Stock Company
APF,UPCOM,CTCP Nông sản Thực phẩm Quảng Ngãi,Quang Ngai Agricultural Products and Foodstuff Joint Stock Company
ASG,HOSE,CTCP Tập đoàn ASG,ASG Corporation
AST,HOSE,CTCP Dịch vụ Hàng không Taseco,Taseco Air Services Joint Stock Company
AVC,UPCOM,CTCP Thủy điện A Vương,A Vuong Hydropower Joint Stock Company
BCA,UPCOM,CTCP B.C.H,B.C.H Joint Stock Company
BCC,HNX,CTCP Xi măng Bỉm Sơn,Bim Son Cement Joint Stock Company
BCF,HNX,CTCP Thực phẩm Bích Chi,Bich Chi Food Company
BDG,UPCOM,CTCP May mặc Bình Dương,Protrade Garment Joint Stock Company
BDT,UPCOM,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Dong Thap Building Materials & Contruction Joint Stock Company
BGE,UPCOM,CTCP BCG Energy,BCG Energy Joint Stock Company
BHA,UPCOM,CTCP Thủy điện Bắc Hà,Bac Ha Hydropower Joint Stock Company
BHI,UPCOM,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,Sai Gon - Ha Noi Insurance Corporation
BHN,HOSE,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Hanoi Beer Alcohol and Beverage Joint Stock Corporation
BIC,HOSE,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,BIDV Insurance Corporation
BKC,HNX,CTCP Khoáng sản Bắc Kạn,Bac Kan Mineral Joint Stock Corporation
BLI,UPCOM,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bao Long Insurance Corporation
BMI,HOSE,Tổng Công ty cổ phần Bảo Minh,Bao Minh Insurance Corporation
BMJ,UPCOM,CTCP Khoáng sản Miền Đông AHP,Easterns AHP Minerals Joint Stock Company
BMP,HOSE,CTCP Nhựa Bình Minh,Binh Minh Plastics Joint Stock Company
BMV,UPCOM,CTCP Bột mỳ Vinafood 1,Vinafood 1 Flour Joint Stock Company
BNA,HNX,CTCP Tập đoàn Đầu tư Bảo Ngọc,Bao Ngoc Investment Group Joint Stock Company
BNW,UPCOM,CTCP Nước sạch Bắc Ninh,Bac Ninh Clean Water Joint Stock Company
BOT,UPCOM,CTCP BOT Cầu Thái Hà,Thai Ha Bridge BOT Joint Stock Company
BRR,UPCOM,CTCP Cao su Bà Rịa,BaRia Rubber Joint Stock Company
BSA,UPCOM,CTCP Thủy điện Buôn Đôn,Buon Don Hydropower Joint Stock Company
BSG,UPCOM,CTCP Xe khách Sài Gòn,Saigon Passenger Transport JSC
BSL,UPCOM,CTCP Bia Sài Gòn - Sông Lam,SaiGon-SongLam Beer Joint Stock Company
BSQ,UPCOM,CTCP Bia Sài Gòn - Quảng Ngãi,Sai Gon - Quang Ngai Beer Joint Stock Company
BTH,UPCOM,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company
BTP,HOSE,CTCP Nhiệt điện Bà Rịa,BaRia Thermal Power Joint Stock Company
BTS,HNX,CTCP Xi măng VICEM Bút Sơn,Vicem But Son Cement Joint Stock Company
BTV,UPCOM,CTCP Dịch vụ Du lịch Bến Thành,BenThanh Tourist Service Corporation 
BTW,HNX,CTCP Cấp nước Bến Thành,Ben Thanh Water Supply Joint Stock Company
BVL,UPCOM,CTCP BV Land,BV Land Joint Stock Company
BWS,UPCOM,CTCP Cấp nước Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau Water Supply Joint Stock Company
C32,HOSE,CTCP Đầu tư và Xây dựng 3-2,3-2 Investment and Construction Joint Stock Company
C47,HOSE,CTCP Xây dựng 47,Construction Joint Stock Company 47
CBI,UPCOM,CTCP Gang thép Cao Bằng,Cao Bang Cast Iron and Steel Joint Stock Company 
CC1,UPCOM,Tổng Công ty Xây dựng Số 1 - CTCP,Construction Corporation No 1 Joint Stock Company
CCC,HOSE,CTCP Xây dựng CDC,CDC Construction Joint Stock Company
CCL,HOSE,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Cuu Long Petro Urban Development and Investment Corporation
CCR,HNX,CTCP Cảng Cam Ranh,Cam Ranh Port Joint Stock Company
CDN,HNX,CTCP Cảng Đà Nẵng,Danang Port Joint Stock Company
CDO,UPCOM,CTCP Tư vấn Thiết kế và Phát triển Đô thị,Consultancy Design and Urban Development Joint Stock Company
CDR,UPCOM,CTCP Xây dựng Cao su Đồng Nai,Dong Nai Rubber Construction Joint Stock Company
CEN,UPCOM,CTCP CENCON Việt Nam,CENCON Vietnam Joint Stock Company
CHP,HOSE,CTCP Thủy điện Miền Trung,Central Hydropower Joint Stock Company
CHS,UPCOM,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Ho Chi Minh City Public Lighting Joint Stock Company
CIG,HOSE,CTCP COMA 18,COMA 18 Joint Stock Company
CKD,UPCOM,CTCP Cơ khí Đông Anh LICOGI,Dong Anh Licogi Mechanical Joint Stock Company
CKG,HOSE,CTCP Tập đoàn CIC,CIC Group Joint Stock Company
CLC,HOSE,CTCP Cát Lợi,Cat Loi Joint Stock Company
CLL,HOSE,CTCP Cảng Cát Lái,Cat Lai Port Joint Stock Company
CLX,UPCOM,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Cho Lon Investment And Import Export Corporation (CHOLIMEX)
CMM,UPCOM,CTCP Camimex,Camimex Joint Stock Company
CMN,UPCOM,CTCP Lương thực Thực phẩm Colusa - Miliket,Colusa - Miliket Foodstuff Joint Stock Company
CMS,HNX,CTCP Tập Đoàn CMH Việt Nam,CMH Viet Nam Group Joint Stock Company
CMX,HOSE,CTCP Camimex Group,Camimex Group Joint Stock Company
CNG,HOSE,CTCP CNG Việt Nam,CNG Viet Nam Joint Stock Company
CNT,UPCOM,CTCP Tập đoàn CNT,CNT Group Corporation
CPA,UPCOM,CTCP Cà phê Phước An,PhuocAn Coffee Joint Stock Company
CPI,UPCOM,CTCP Đầu tư Cảng Cái Lân,Cailan Port  Investment Joint Stock Company
CQN,UPCOM,CTCP Cảng Quảng Ninh,Quang Ninh Port Joint Stock Company
CQT,UPCOM,CTCP Xi măng Quán Triều VVMI,VVMI Quan Trieu Cement Joint Stock Company
CSC,HNX,CTCP Tập đoàn Cotana,Cotana Group Joint Stock Company
CST,HNX,CTCP Than Cao Sơn - TKV,Cao Son Coal Joint Stock Company
CTW,UPCOM,CTCP Cấp thoát nước Cần Thơ,Can Tho Water Supply - Sewerage Joint Stock Company
CTX,UPCOM,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Vietnam Investment Construction and Trading Joint Stock Corporation
CVT,HOSE,CTCP CMC,CMC Joint Stock Company
D2D,HOSE,CTCP Phát triển Đô thị Công nghiệp số 2,Industrial Urban Development Joint - Stock Company No 2
DAH,HOSE,CTCP Tập đoàn Khách sạn Đông Á,Dong A Hotel Group Joint Stock Company
DAN,UPCOM,CTCP Dược Danapha,Danapha Pharmaceutical Joint Stock Company
DAT,HOSE,CTCP Đầu tư du lịch và Phát triển Thủy sản,Travel Investment and Seafood Development Corporation
DBD,HOSE,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar),Binh Dinh Pharmaceutical and Medical Equipment Joint Stock Company
DC2,HNX,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2,Development Investment Construction Number 2 Joint Stock Company
DCF,UPCOM,CTCP Xây dựng và Thiết kế Số 1,Design and Construction Joint Stock Company No.1
DCS,UPCOM,CTCP Tập đoàn EDX,EDX Holding Joint Stock Company
DCT,UPCOM,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai,Dong Nai Roofsheet & Construction Material Joint Stock Company
DFF,UPCOM,CTCP Tập đoàn Đua Fat,Dua Fat Group Joint Stock Company
DGT,UPCOM,CTCP Công trình Giao thông Đồng Nai,DONA Transportation Construction Joint Stock Company
DHA,HOSE,CTCP Hóa An,Hoa An Joint Stock Company
DHD,UPCOM,CTCP Dược Vật tư Y tế Hải Dương,Hai Duong Pharmaceutical Medical Materials Joint Stock Company
DHG,HOSE,CTCP Dược Hậu Giang,DHG Pharmaceutical Joint Stock Company
DHT,HNX,CTCP Dược phẩm Hà Tây,Ha Tay Pharmaceutical Joint Stock Company
DIC,UPCOM,CTCP Đầu tư và Thương mại DIC,DIC Investment and Trading Joint Stock Company
DL1,HNX,CTCP Tập đoàn Alpha Seven,Alpha Seven Group Joint Stock Company
DMC,HOSE,CTCP Xuất nhập khẩu Y Tế DOMESCO,DOMESCO Medical Import-Export Joint Stock Corporation
DMX,HOSE,CTCP Đầu tư Điện máy Xanh,Dien May Xanh Investment Joint Stock Company
DNA,UPCOM,CTCP Điện Nước An Giang,An Giang Power and Water Supply Joint Stock Company
DNH,UPCOM,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company
DNM,UPCOM,Tổng Công ty cổ phần Y tế DANAMECO,Danameco Medical Joint Stock Corporation
DNN,UPCOM,CTCP Cấp nước Đà Nẵng,Da Nang Water Supply Joint Stock Company
DNP,HNX,CTCP DNP Holding,DNP Holding Joint Stock Company
DNW,UPCOM,CTCP Cấp nước Đồng Nai,Dong Nai Water Joint Stock Company
DP1,UPCOM,CTCP Dược phẩm Trung ương CPC1,Central Pharmaceutical CPC1. JSC
DP3,HNX,CTCP Dược phẩm Trung ương 3,Central Pharmaceutical Joint Stock Company No 3
DPR,HOSE,CTCP Cao su Đồng Phú,Dong Phu Rubber Joint Stock Company
DQC,HOSE,CTCP Tập đoàn Điện Quang,Dien Quang Group Joint Stock Company
DRH,HOSE,CTCP DRH Holdings,DRH Holdings JSC
DSC,HOSE,CTCP Chứng khoán DSC,DSC Securities Corporation
DSD,UPCOM,CTCP DHC Suối Đôi,DHC Suoi Doi Corporation
DSG,UPCOM,CTCP Kính Đáp Cầu,Dap Cau Sheet Glass Joint Stock Company
DSP,UPCOM,CTCP Dịch vụ Du lịch Phú Thọ,Phu Tho Tourist Service Joint Stock Company
DTI,UPCOM,CTCP Đầu tư Đức Trung,Duc Trung Investment Joint Stock Company
DTK,HNX,Tổng Công ty Điện lực TKV - CTCP,Vinacomin - Power Holding Corporation
DTL,HOSE,CTCP Đại Thiên Lộc,Dai Thien Loc Corporation
DTP,UPCOM,CTCP Dược phẩm CPC1 Hà Nội,Ha Noi CPC1 Pharmaceutical Joint Stock Company
DVG,UPCOM,CTCP Đại Việt Group DVG,Dai Viet DVG Group Joint Stock Company
DVM,HNX,CTCP Dược liệu Việt Nam,Vietnam Medicinal Materials Joint Stock Company
DVN,UPCOM,Tổng Công ty Dược Việt Nam - CTCP,Vietnam Pharmaceutical Corporation - Joint Stock Company
DVP,HOSE,CTCP Đầu tư và Phát triển Cảng Đình Vũ,DinhVu Port Investment & Development Joint Stock Company
DWS,UPCOM,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,Dong Thap Water Supply & Urban Environment Joint - Stock Company
EFI,UPCOM,CTCP Đầu tư Tài chính Giáo dục,Education Financial Investment Joint Stock Company
EIC,UPCOM,CTCP EVN Quốc tế,EVN International Joint Stock Company
EIN,UPCOM,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực,Electricity Investment - Service - Trade Joint Stock Company
EMS,UPCOM,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,VN Post Express Joint Stock Corporation
EVE,HOSE,CTCP Everpia,Everpia Joint Stock Company
FCM,HOSE,CTCP Bê tông Phan Vũ Hà Nam,Phan Vu Ha Nam Concrete Joint Stock Company
FCS,UPCOM,CTCP Lương thực Thành phố Hồ Chí Minh,Ho Chi Minh City Food Joint Stock Company
FDC,HOSE,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Foreign Trade Development & Investment Corporation of HCMC
FIC,UPCOM,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP,Fico Corporation JSC
FID,HNX,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,Vietnam Enterprise Investment and Development Joint Stock Company
FIR,HOSE,CTCP Địa ốc First Real,First Real Joint Stock Company
FMC,HOSE,CTCP Thực phẩm Sao Ta,Sao Ta Foods Joint Stock Company 
FOC,UPCOM,CTCP Dịch vụ Trực tuyến FPT,FPT Online Service Joint Stock Company
FTM,UPCOM,CTCP Đầu tư và Phát triển Đức Quân,Duc Quan Investment and Development Joint Stock Company
G36,UPCOM,Tổng Công ty 36 - CTCP,36 Corporation
GCF,UPCOM,CTCP Thực phẩm G.C,G.C Food Joint Stock Company
GDA,UPCOM,CTCP Tôn Đông Á,Ton Dong A Corporation
GDT,HOSE,CTCP Chế biến Gỗ Đức Thành,Duc Thanh Wood Processing Joint Stock Company
GGG,UPCOM,CTCP Ô tô Giải Phóng,Giai Phong Motor Joint Stock Company
GHC,HOSE,CTCP Thủy điện Gia Lai,Gia Lai Hydropower Joint Stock Company
GIC,HNX,CTCP VSC Green Logistics,VSC Green Logistics Joint Stock Company
GKM,HNX,CTCP GKM Holdings,GKM Holdings Joint Stock Company
GMC,UPCOM,CTCP Garmex Sài Gòn,Garmex Saigon Corporation
GPC,UPCOM,CTCP Tập đoàn Green+,Green Plus Joint Stock Corporation
GSM,UPCOM,CTCP Thủy điện Hương Sơn,Huong Son Hydro Power Joint Stock Company
GSP,HOSE,CTCP Vận tải Sản Phẩm Khí Quốc tế,International Gas Product Shipping Joint Stock Company
GTS,UPCOM,CTCP Công trình Giao thông Sài Gòn,SaiGon Traffic Construction Joint Stock Company
HAC,UPCOM,CTCP Chứng khoán Hải Phòng,Hai Phong Securities Joint Stock Company
HAN,UPCOM,Tổng Công ty Xây dựng Hà Nội - CTCP,Hanoi Construction Corporation - Joint Stock Company
HAP,HOSE,CTCP Tập đoàn Hapaco,Hapaco Group Joint Stock Company
HAR,HOSE,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,An Duong Thao Dien Real Estate Investment Joint Stock Company
HAS,HOSE,CTCP Hacisco,Hacisco Joint Stock Company
HBS,HNX,CTCP Chứng khoán Hòa Bình,Hoa Binh Securities Joint Stock Company
HCD,HOSE,CTCP Đầu tư Sản xuất và Thương mại HCD,HCD Investment Producing and Trading Joint Stock Company 
HDA,HNX,CTCP Hãng sơn Đông Á,Dong A Paint Joint Stock Company
HDW,UPCOM,CTCP Kinh doanh Nước sạch Hải Dương,Hai Duong Water Joint Stock Company
HEP,UPCOM,CTCP Môi trường và Công trình Đô thị Huế,Hue Urban Environment And Public Works Joint Stock Company
HHG,UPCOM,CTCP Hoàng Hà,Hoang Ha Joint Stock Company
HID,HOSE,CTCP Halcom Việt Nam,Halcom Vietnam Joint Stock Company
HIO,UPCOM,CTCP Helio Energy,Helio Energy Joint Stock Company
HJS,HNX,CTCP Thủy điện Nậm Mu,Nam Mu Hydropower Joint Stock Company
HKB,UPCOM,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,Ha Noi - Kinh Bac Agriculture and Food Joint Stock Company
HLC,HNX,CTCP Than Hà Lầm - Vinacomin,Vinacomin - Ha Lam Coal Joint Stock Company
HLD,HNX,CTCP Đầu tư và Phát triển Bất động sản Hudland,HUDLAND Real Estate Investment and Development Joint Stock Company
HMC,HOSE,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL,VNSTEEL - HoChiMinh City Metal Corporation
HNA,HOSE,CTCP Thủy điện Hủa Na,Hua Na Hydropower Joint Stock Company
HND,UPCOM,CTCP Nhiệt điện Hải Phòng,Hai Phong Thermal Power Joint Stock Company
HNF,UPCOM,CTCP Thực phẩm Hữu Nghị,Huu Nghi Food Joint Stock Company
HNI,UPCOM,CTCP May Hữu Nghị,Huu Nghi Garment Joint Stock Company
HOM,HNX,CTCP Xi măng VICEM Hoàng Mai,VICEM Hoang Mai Cement Joint Stock Company
HPI,UPCOM,CTCP Khu công nghiệp Hiệp Phước,Hiep Phuoc Industrial Park Joint Stock Company
HPP,UPCOM,CTCP Sơn Hải Phòng,Hai Phong Paint Joint Stock Company
HPW,UPCOM,CTCP Cấp nước Hải Phòng,Hai Phong Water Joint Stock Company
HRC,HOSE,CTCP Cao su Hòa Bình,Hoa Binh Rubber Joint Stock Company
HTE,UPCOM,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,Ho Chi Minh City Electric Power Trading Investment Corporation
HTG,HOSE,Tổng Công ty cổ phần Dệt may Hòa Thọ,Hoa Tho Textile - Garment Joint Stock Corporation
HTI,HOSE,CTCP Đầu tư Phát triển Hạ tầng IDICO,IDICO Infrastructure Development Investment Joint Stock Company
HTM,UPCOM,Tổng Công ty Thương mại Hà Nội - CTCP,Hanoi Trade Joint Stock Corporation
HTT,UPCOM,CTCP Thương mại Hà Tây,Ha Tay Trading Joint Stock Company
HU3,UPCOM,CTCP Đầu tư và Xây dựng HUD3,HUD3 Investment and Construction Joint Stock Company
HUB,HOSE,CTCP Xây lắp Thừa Thiên Huế,Thua Thien Hue Construction Joint Stock Corporation
HVT,HNX,CTCP Hóa chất Việt Trì,Viet Tri Chemical Joint Stock Company
HVX,UPCOM,CTCP Xi măng VICEM Hải Vân,Vicem Hai Van Cement Joint Stock Company
HWS,UPCOM,CTCP Cấp nước Huế,Hue Water Supply Joint Stock Company
ICN,UPCOM,CTCP Đầu tư Xây dựng Dầu khí IDICO,IDICO Investment Construction Oil and Natural Gas Joint Stock Company
ICT,HOSE,CTCP Viễn thông - Tin học Bưu điện,Joint Stock Company for Telecom and Informatics
IDV,HNX,CTCP Phát triển Hạ tầng Vĩnh Phúc,Vinh Phuc Infrastructure Development Joint Stock Company
IFS,UPCOM,CTCP Thực phẩm Quốc tế,Interfood Shareholding Company
ILB,HOSE,CTCP ICD Tân Cảng - Long Bình,ICD Tan Cang - Long Binh Joint Stock Company
ILS,UPCOM,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế,International Investment Trade and Service Joint Stock Company
IMP,HOSE,CTCP Dược phẩm Imexpharm,Imexpharm Corporation
INN,HNX,CTCP Bao bì và In Nông nghiệp,Agriculture Printing and Packaging Joint Stock Company
IPA,HNX,CTCP Tập đoàn Đầu tư I.P.A,I.P.A Investments Group Joint Stock Company
ISH,UPCOM,CTCP Thủy điện Srok Phu Miêng IDICO,IDICO Srok Phu Mieng Hydropower Joint Stock Company
ITC,HOSE,CTCP Đầu tư và Kinh doanh Nhà,Investment and Trading of Real Estate Joint stock Company
ITD,HOSE,CTCP Công nghệ ITD,ITD Technology Corporation
ITQ,HNX,CTCP Tập đoàn Thiên Quang,Thien Quang Group Joint Stock Company
ITS,UPCOM,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin,"Vinacomin - Investment, Trading and Service Joint Stock Company"
IVS,HNX,CTCP Chứng khoán Guotai Haitong (Việt Nam),Guotai Haitong Securities (Vietnam) Corp.
JOS,UPCOM,CTCP Chế biến Thủy sản xuất khẩu Minh Hải,Minh Hai Export Frozen Seafood Processing Joint - Stock Company
JVC,HOSE,CTCP Đầu tư và Phát triển Y tế Việt Nhật,Japan Vietnam Medical Investment and Development Joint Stock Company
KDC,HOSE,CTCP Tập đoàn KIDO,KIDO Group Corporation
KGM,UPCOM,CTCP Xuất nhập khẩu Kiên Giang,Kien Giang Import & Export Joint Stock Company
KHP,HOSE,CTCP Điện lực Khánh Hòa,Khanh Hoa Power Joint Stock Company
KHW,UPCOM,CTCP Cấp thoát nước Khánh Hòa,Khanh Hoa Water Supply And Sewerage Joint Stock Company
KMR,HOSE,CTCP Mirae,Mirae Joint Stock Company
KOS,HOSE,CTCP KOSY,KOSY Joint Stock Company
KSQ,UPCOM,CTCP CNC Capital Việt Nam,CNC Capital Viet Nam Joint Stock Company
KSV,HNX,Tổng Công ty Khoáng sản TKV - CTCP,Vinacomin - Minerals Holding Corporation
KTL,UPCOM,CTCP Kim Khí Thăng Long,ThangLong Metal Wares Joint Stock Company
KVC,UPCOM,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,Kim Vi Inox Import Export Production Joint Stock Company
L18,HNX,CTCP Đầu tư và Xây dựng Số 18,Construction and Investment Joint Stock Company No 18
L35,UPCOM,CTCP Cơ khí Lắp máy Lilama,Lilama Erection Mechanical Joint Stock Company
LAI,UPCOM,CTCP Đầu Tư Xây dựng Long An IDICO,IDICO-LongAn Investment Construction Joint Stock Company
LBE,HNX,CTCP Thương mại và Dịch vụ LVA,LVA Trading and Services Joint Stock Company
LBM,HOSE,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,LamDong Minerals and Building Materials Joint Stock Company
LCM,UPCOM,CTCP Khai thác và Chế biến khoáng sản Lào Cai,Lao Cai Mineral Exploitation and Processing Joint Stock Company
LDP,HNX,CTCP Dược Lâm Đồng (Ladophar),Lam Dong Pharmaceutical Joint Stock Company
LDW,UPCOM,CTCP Cấp thoát nước Lâm Đồng,Lam Dong Water Supply And Sewerage Joint Stock Company
LEC,UPCOM,CTCP Bất động sản Điện lực Miền Trung,Central Power Real Estate Joint Stock Company
LGL,HOSE,CTCP Đầu tư và Phát triển Đô thị Long Giang,Long Giang Investment and Urban Development Joint-Stock Company
LHC,HNX,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Lam Dong Investment and Hydraulic Construction Joint - Stock Company
LHG,HOSE,CTCP Long Hậu,Long Hau Corporation
LIC,UPCOM,Tổng Công ty LICOGI - CTCP,LICOGI Corporation - JSC
LIG,HNX,CTCP Licogi 13,Licogi 13 Joint Stock Company
LIX,HOSE,CTCP Bột Giặt Lix,Lix Detergent Joint Stock Company
LLM,UPCOM,Tổng Công ty Lắp máy Việt Nam - CTCP,VietNam Machinery Installation Corporation - JSC
LM8,HOSE,CTCP Lilama 18,Lilama 18 Joint Stock Company
LMH,UPCOM,CTCP Quốc Tế Holding,Quoc Te Holding Joint Stock Company
LSG,UPCOM,CTCP Bất động sản Sài Gòn Vina,Saigon Vina Land Joint Stock Company
LSS,HOSE,CTCP Mía Đường Lam Sơn,Lam Son Sugar Joint Stock Corporation
M10,UPCOM,Tổng Công ty May 10 - CTCP,Garment 10 Corporation - Joint Stock Company
MAC,HNX,CTCP Tập đoàn Macstar,Macstar Group Corporation
MCG,UPCOM,CTCP Năng lượng và Bất động sản MCG,MCG Energy and Real Estate Joint Stock Company
MCM,HOSE,CTCP Giống Bò sữa Mộc Châu,MocChau Dairy Cattle Breeding Joint Stock Company
MDC,HNX,CTCP Than Mông Dương - Vinacomin,Vinacomin - Mong Duong Coal Joint Stock Company
MDF,UPCOM,CTCP Gỗ MDF VRG - Quảng Trị,MDF VRG - Quang Tri Wood Joint Stock Company
MFS,UPCOM,CTCP Dịch vụ Kỹ thuật Mobifone,Mobifone Technical Services Joint Stock Company
MH3,UPCOM,CTCP Khu Công nghiệp Cao su Bình Long,Binh Long Rubber Industrial Park Corporation
MHC,HOSE,CTCP MHC,MHC Joint Stock Company
