symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source
AAA,HOSE,CTCP Nhựa An Phát Xanh,An Phat Bioplastics Joint Stock Company,STOCK,1.0,Nhựa An Phát Xanh,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,382274496,CURRENT_LOCKED
AAS,UPCOM,CTCP Chứng khoán SmartInvest,SmartInvest Securities JSC,STOCK,2.0,Chứng khoán SmartInvest,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,229999521,CURRENT_LOCKED
AAV,HNX,CTCP AAV Group,AAV Group Joint Stock Company,STOCK,3.0,AAV Group,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,68987661,CURRENT_LOCKED
ABB,UPCOM,Ngân hàng TMCP An Bình,An Binh Commercial Joint Stock Bank,STOCK,4.0,An Bình,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,1035036762,CURRENT_LOCKED
ABS,HOSE,CTCP Dịch vụ Nông nghiệp Bình Thuận,BinhThuan Agriculture Services JSC,STOCK,5.0,Dịch vụ Nông nghiệp Bình Thuận,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,80000000,CURRENT_LOCKED
ABW,UPCOM,CTCP Chứng khoán An Bình,An Binh Securities Joint Stock Company,STOCK,6.0,Chứng khoán An Bình,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,101150000,CURRENT_LOCKED
ACB,HOSE,Ngân hàng TMCP Á Châu,Asia Commercial Joint Stock Bank,STOCK,7.0,Á Châu,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,5136656599,CURRENT_LOCKED
ACC,HOSE,CTCP Đầu tư và Xây dựng Bình Dương ACC,ACC Binh Duong Investment and Construction Joint Stock Company,STOCK,8.0,Đầu tư và Xây dựng Bình Dương ACC,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,104999993,CURRENT_LOCKED
ACV,UPCOM,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Airports Corporation Of VietNam,STOCK,9.0,Cảng Hàng không Việt Nam - CTCP,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,3582847523,CURRENT_LOCKED
ADC,HNX,CTCP Mỹ thuật và Truyền thông,Art Design And Communication JSC,STOCK,10.0,Mỹ thuật và Truyền thông,Dịch vụ truyền thông,Truyền thông và giải trí,Truyền thông,Communication Services,Media & Entertainment,Media,3977936,CURRENT_LOCKED
AFX,UPCOM,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,An Giang Agriculture and Foods Import - Export JSC,STOCK,11.0,Xuất nhập khẩu Nông sản Thực phẩm An Giang,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,35000000,CURRENT_LOCKED
AGG,HOSE,CTCP Đầu tư và Phát triển Bất động sản An Gia,An Gia Real Estate Investment and Development Corporation,STOCK,12.0,Đầu tư và Phát triển Bất động sản An Gia,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,162528081,CURRENT_LOCKED
AGR,HOSE,CTCP Chứng khoán Agribank,Agribank Securities Corporation,STOCK,13.0,Chứng khoán Agribank,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,228311823,CURRENT_LOCKED
AAH,UPCOM,CTCP Hợp Nhất,Continued Joint Stock Company,STOCK,14.0,Hợp Nhất,Năng lượng,Năng lượng,Dầu khí,Energy,Energy,"Oil, Gas & Consumable Fuels",117900000,CURRENT_LOCKED
AIG,UPCOM,CTCP Nguyên liệu Á Châu AIG,AIG Asia Ingredients Corporation,STOCK,15.0,Nguyên liệu Á Châu AIG,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,Thương mại hàng thiết yếu,Consumer Staples,Consumer Staples Dist. & Retail,Consumer Staples Distribution & Retail,170601298,CURRENT_LOCKED
AMV,HNX,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,American Vietnamese Biotech INC,STOCK,16.0,Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Chăm sóc sức khỏe,Thiết bị và dịch vụ chăm sóc sức khỏe,Thiết bị và vật tư chăm sóc sức khỏe,Health Care,Health Care Equip. & Services,Health Care Equipment & Supplies,131105650,CURRENT_LOCKED
ANV,HOSE,CTCP Nam Việt,Nam Viet Corporation,STOCK,17.0,Nam Việt,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,266667500,CURRENT_LOCKED
APG,HOSE,CTCP Chứng khoán APG,APG Securities JSC,STOCK,18.0,Chứng khoán APG,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,223621942,CURRENT_LOCKED
APH,HOSE,CTCP Tập đoàn An Phát Holdings,An Phat Holdings Joint Stock Company,STOCK,19.0,An Phát Holdings,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,243884268,CURRENT_LOCKED
API,HNX,CTCP Đầu tư Châu Á - Thái Bình Dương,Asia - Pacific Investment JSC,STOCK,20.0,Đầu tư Châu Á - Thái Bình Dương,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,84083976,CURRENT_LOCKED
APS,HNX,CTCP Chứng khoán Châu Á Thái Bình Dương,Asia - Pacific Securities Joint Stock Company,STOCK,21.0,Chứng khoán Châu Á Thái Bình Dương,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,83000000,CURRENT_LOCKED
ARM,HNX,CTCP Xuất nhập khẩu Hàng không,General Aviation Import Export JSC,STOCK,22.0,Xuất nhập khẩu Hàng không,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Industrials,Capital Goods,Trading Companies & Distributors,3111283,CURRENT_LOCKED
ASM,HOSE,CTCP Tập đoàn Sao Mai,Sao Mai Group Corporation,STOCK,23.0,Sao Mai,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,370178250,CURRENT_LOCKED
ASP,HOSE,CTCP Tập đoàn Dầu khí An Pha,An Pha Petrol Joint Stock Company,STOCK,24.0,Dầu khí An Pha,Năng lượng,Năng lượng,Dầu khí,Energy,Energy,"Oil, Gas & Consumable Fuels",37339929,CURRENT_LOCKED
ATS,HNX,CTCP Tập đoàn Đầu tư ATS,ATS Investment Group Joint Stock Company,STOCK,25.0,Đầu tư ATS,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",3500000,CURRENT_LOCKED
BAB,HNX,Ngân hàng TMCP Bắc Á,Bac A Commercial Joint Stock Bank,STOCK,26.0,Bắc Á,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,958021843,CURRENT_LOCKED
BAF,HOSE,CTCP Nông nghiệp BAF Việt Nam,BAF Viet Nam Agriculture Joint Stock Company,STOCK,27.0,Nông nghiệp BAF Việt Nam,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,304021642,CURRENT_LOCKED
BCE,HOSE,CTCP Xây dựng và Giao thông Bình Dương,Binh Duong Construction & Civil Engineering JSC,STOCK,28.0,Xây dựng và Giao thông Bình Dương,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Hàng tiêu dùng lâu bền,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,35000000,CURRENT_LOCKED
BCM,HOSE,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Investment And Industrial Development Corporation,STOCK,29.0,Đầu tư và Phát triển Công nghiệp – CTCP,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,1035000000,CURRENT_LOCKED
BFC,HOSE,CTCP Phân bón Bình Điền,Binh Dien Fertilizer Joint Stock Company,STOCK,30.0,Phân bón Bình Điền,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,57167993,CURRENT_LOCKED
BID,HOSE,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Joint Stock Commercial Bank for Investment and Development of Vietnam,STOCK,31.0,Đầu tư và Phát triển Việt Nam,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,7021361917,CURRENT_LOCKED
