symbol,exchange,company_name,display_name,en_company_name,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,status,needs_review
AAT,HOSE,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Tiên Sơn Thanh Hóa,Tien Son Thanh Hoa Group JSC,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AAT/ho-so-doanh-nghiep.htm,OK,NO
ABI,UPCOM,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Agriculture Bank Insurance Joint Stock Corporation,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ABI/ho-so-doanh-nghiep.htm,OK,NO
ACG,HOSE,CTCP Gỗ An Cường,Gỗ An Cường,An Cuong Wood - Working Joint Stock Company,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,Nguyên vật liệu,Gỗ và giấy,,Gỗ & Giấy,NORMAL,24,go va giay,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ACG/ho-so-doanh-nghiep.htm,OK,NO
ACL,HOSE,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Xuất nhập khẩu Thủy sản Cửu Long An Giang,Cuu Long Fish Joint Stock Company,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ACL/ho-so-doanh-nghiep.htm,OK,NO
ACM,UPCOM,CTCP Tập đoàn Khoáng sản Á Cường,Khoáng sản Á Cường,A Cuong Mineral Group JSC,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ACM/ho-so-doanh-nghiep.htm,OK,NO
ADG,HOSE,CTCP Clever Group,Clever Group,Clever Group Corporation,Dịch vụ truyền thông,Truyền thông và giải trí,Truyền thông,Dịch vụ truyền thông,Truyền thông và giải trí,Truyền thông,Du lịch & Giải trí,NORMAL,27,giai tri,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ADG/ho-so-doanh-nghiep.htm,OK,NO
ADP,HOSE,CTCP Sơn Á Đông,Sơn Á Đông,A Dong Paint JSC,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ADP/ho-so-doanh-nghiep.htm,OK,NO
ADS,HOSE,CTCP Damsan,Damsan,DamSan Joint Stock Company,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ADS/ho-so-doanh-nghiep.htm,OK,NO
AGF,UPCOM,CTCP Xuất nhập khẩu Thủy sản An Giang,Xuất nhập khẩu Thủy sản An Giang,Angiang Fisheries Import Export JSC,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AGF/ho-so-doanh-nghiep.htm,OK,NO
AGP,UPCOM,CTCP Dược phẩm Agimexpharm,Dược phẩm Agimexpharm,Agimexpharm Pharmaceutical JSC,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AGP/ho-so-doanh-nghiep.htm,OK,NO
AIC,UPCOM,Tổng Công ty Cổ phần Bảo hiểm DBV,Bảo hiểm DBV,DBV Insurance Corporation,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AIC/ho-so-doanh-nghiep.htm,OK,NO
AMD,UPCOM,CTCP Đầu tư và Khoáng sản FLC Stone,Đầu tư và Khoáng sản FLC Stone,FLC Stone Mining And Investment Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Xây dựng,NORMAL,15,xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AMD/ho-so-doanh-nghiep.htm,OK,NO
AME,HNX,CTCP Alphanam E&C,Alphanam E&C,Alphanam E&C Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Thương mại & Phân phối,NORMAL,33,phan phoi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AME/ho-so-doanh-nghiep.htm,OK,NO
AMS,UPCOM,CTCP Cơ khí Xây dựng AMECC,Cơ khí Xây dựng AMECC,AMECC MECHANICAL CONSTRUCTION JSC,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Máy móc & Thiết bị,NORMAL,30,may moc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AMS/ho-so-doanh-nghiep.htm,OK,NO
APF,UPCOM,CTCP Nông sản Thực phẩm Quảng Ngãi,Nông sản Thực phẩm Quảng Ngãi,Quang Ngai Agricultural Products and Foodstuff JSC,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/APF/ho-so-doanh-nghiep.htm,OK,NO
ART,UPCOM,CTCP Chứng khoán Artex,Chứng khoán Artex,Artex Securities Joint Stock Company,Tài chính,Dịch vụ tài chính,Thị trường vốn,Tài chính,Dịch vụ tài chính,Thị trường vốn,Chứng khoán,SECURITIES,2,thi truong von,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ART/ho-so-doanh-nghiep.htm,OK,NO
ASG,HOSE,CTCP Tập đoàn ASG,ASG,ASG Corporation,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Cảng & Logistics,NORMAL,14,logistics,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ASG/ho-so-doanh-nghiep.htm,OK,NO
AST,HOSE,CTCP Dịch vụ Hàng không Taseco,Dịch vụ Hàng không Taseco,Taseco Air Services JSC,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Công nghiệp,Vận tải,Hạ tầng giao thông,Cảng & Logistics,NORMAL,14,logistics,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/AST/ho-so-doanh-nghiep.htm,OK,YES
AVC,UPCOM,CTCP Thủy điện A Vương,Thủy điện A Vương,A Vuong Hydropower JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/AVC/ho-so-doanh-nghiep.htm,OK,YES
AVF,UPCOM,CTCP Việt An,Việt An,AnViFish Joint Stock Company,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AVF/ho-so-doanh-nghiep.htm,OK,NO
BCA,UPCOM,CTCP B.C.H,B.C.H,B.C.H Joint Stock Company,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BCA/ho-so-doanh-nghiep.htm,OK,NO
BCC,HNX,CTCP Xi măng Bỉm Sơn,Xi măng Bỉm Sơn,Bim Son Cement JSC,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BCC/ho-so-doanh-nghiep.htm,OK,NO
BCF,HNX,CTCP Thực phẩm Bích Chi,Thực phẩm Bích Chi,Bich Chi Food JSC,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BCF/ho-so-doanh-nghiep.htm,OK,NO
BCG,HOSE,CTCP Tập đoàn Bamboo Capital,Bamboo Capital,Bamboo Capital Group Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BCG/ho-so-doanh-nghiep.htm,OK,YES
BCR,UPCOM,CTCP BCG Land,BCG Land,BCG Land Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BCR/ho-so-doanh-nghiep.htm,OK,YES
