classifier_version,symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
v2_20260820,AAM,HOSE,CTCP Thủy sản MeKong,CTCP Thủy sản MeKong,Mekong Fisheries Joint Stock Company,CTCP Thủy sản MeKong - MekongFish Co - Hồ sơ doanh nghiệp,MATCH,,,,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AAM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AAM/tai-chinh.htm?tab=BCTT,OK,NO,
v2_20260820,AAT,HOSE,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,Tien Son Thanh Hoa Group Joint Stock Company,CTCP Tập Đoàn Tiên Sơn Thanh Hóa - Tien Son Thanh Hoa Group JSC - Hồ sơ doanh nghiệp,MATCH,,,,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AAT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AAT/tai-chinh.htm?tab=BCTT,OK,NO,
v2_20260820,ABI,UPCOM,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Agriculture Bank Insurance Joint Stock Corporation,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam - ABIC - Hồ sơ doanh nghiệp,MATCH,,,,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ABI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ABI/tai-chinh.htm?tab=BCTT,OK,NO,
v2_20260820,ACG,HOSE,CTCP Gỗ An Cường,CTCP Gỗ An Cường,An Cuong Wood - Working Joint Stock Company,CTCP Gỗ An Cường - An Cuong Wood - Working JSC - Hồ sơ doanh nghiệp,MATCH,,,,Nguyên vật liệu,Gỗ và giấy,,Gỗ & Giấy,NORMAL,24,go va giay,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ACG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ACG/tai-chinh.htm?tab=BCTT,OK,NO,
v2_20260820,ACL,HOSE,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Cuu Long Fish Joint Stock Company,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang - CL-Fish Corp - Hồ sơ doanh nghiệp,MATCH,,,,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ACL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ACL/tai-chinh.htm?tab=BCTT,OK,NO,
v2_20260820,ACM,UPCOM,CTCP Tập đoàn Khoáng sản Á Cường,CTCP Tập đoàn Khoáng sản Á Cường,A Cuong Mineral Group Joint Stock Company,"CTCP Tập đoàn Khoáng sản Á Cường - AC Group.,JSC - Hồ sơ doanh nghiệp",MATCH,,,,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ACM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ACM/tai-chinh.htm?tab=BCTT,OK,NO,
v2_20260820,ADG,HOSE,CTCP Clever Group,CTCP Clever Group,Clever Group Corporation,CTCP Clever Group - CLEVER GROUP - Hồ sơ doanh nghiệp,MATCH,,,,Dịch vụ truyền thông,Truyền thông và giải trí,Truyền thông,Truyền thông,NORMAL,28,truyen thong,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ADG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ADG/tai-chinh.htm?tab=BCTT,OK,NO,
v2_20260820,ADP,HOSE,CTCP Sơn Á Đông,CTCP Sơn Á Đông,A Dong Paint Stock Company,CTCP Sơn Á Đông - ADONG PAINT - Hồ sơ doanh nghiệp,MATCH,,,,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ADP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ADP/tai-chinh.htm?tab=BCTT,OK,NO,
v2_20260820,ADS,HOSE,CTCP Damsan,CTCP Damsan,Damsan Joint Stock Company,CTCP Damsan - Damsan JSC - Hồ sơ doanh nghiệp,MATCH,,,,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ADS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ADS/tai-chinh.htm?tab=BCTT,OK,NO,
v2_20260820,AGF,UPCOM,CTCP Xuất nhập khẩu Thủy sản An Giang,CTCP Xuất nhập khẩu Thủy sản An Giang,Angiang Fisheries Import  Export JSC,CTCP Xuất nhập khẩu Thủy sản An Giang - AGIFISH Co - Hồ sơ doanh nghiệp,MATCH,,,,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AGF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AGF/tai-chinh.htm?tab=BCTT,OK,NO,
