symbol,exchange,company_name,display_name,en_company_name,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,status,needs_review
AST,HOSE,CTCP Dịch vụ Hàng không Taseco,Dịch vụ Hàng không Taseco,Taseco Air Services JSC,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Công nghiệp,Vận tải,Hạ tầng giao thông,Cảng & Logistics,NORMAL,14,logistics,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/AST/ho-so-doanh-nghiep.htm,OK,YES
AVC,UPCOM,CTCP Thủy điện A Vương,Thủy điện A Vương,A Vuong Hydropower JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/AVC/ho-so-doanh-nghiep.htm,OK,YES
BCG,HOSE,CTCP Tập đoàn Bamboo Capital,Bamboo Capital,Bamboo Capital Group Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BCG/ho-so-doanh-nghiep.htm,OK,YES
BCR,UPCOM,CTCP BCG Land,BCG Land,BCG Land Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BCR/ho-so-doanh-nghiep.htm,OK,YES
BGE,UPCOM,CTCP BCG Energy,BCG Energy,BCG Energy Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BGE/ho-so-doanh-nghiep.htm,OK,YES
BHA,UPCOM,CTCP Thủy điện Bắc Hà,Thủy điện Bắc Hà,Bac Ha Hydropower JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BHA/ho-so-doanh-nghiep.htm,OK,YES
BII,UPCOM,CTCP Louis Land,Louis Land,Louis Land JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BII/ho-so-doanh-nghiep.htm,OK,YES
BNW,UPCOM,CTCP Nước sạch Bắc Ninh,Nước sạch Bắc Ninh,Bac Ninh Clean Water Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BNW/ho-so-doanh-nghiep.htm,OK,YES
BOT,UPCOM,CTCP BOT Cầu Thái Hà,BOT Cầu Thái Hà,Thai Ha Bridge BOT Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BOT/ho-so-doanh-nghiep.htm,OK,YES
BSA,UPCOM,CTCP Thủy điện Buôn Đôn,Thủy điện Buôn Đôn,Buon Don Hydropower JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BSA/ho-so-doanh-nghiep.htm,OK,YES
